T_i,B_i
4285,23423
20184,52418
34363,41507
61338,38654
77957,70111
77634,73340
41810,80743
84275,35854
23682,60529
66477,17566
96132,84864
69586,17035
31000,29381
32058,67175
69713,42982
84288,52720
80813,75397
41360,19051
78980,9969
13353,98097
71456,25335
65653,62539
70237,16795
8675,17394
55732,86500
22226,55378
69818,25517
12197,80740
70398,83832
72798,29186
35242,58669
97627,40826
85907,19534
66457,50000
29835,90030
82062,41527
94027,5637
72327,95747
35251,95669
52262,267
44228,55009
83421,60949
65455,85235
43688,33636
76250,2323
59804,78090
60710,98737
45836,74090
54741,16876
45804,33917
20041,25904
56667,40424
53783,39356
65047,65327
90008,67353
93154,74690
40096,76626
72907,82415
84531,93812
89122,82565
55755,11651
83379,43317
61327,92215
23639,85007
99699,49194
62861,71715
75236,11952
79528,33853
98395,34551
21088,60752
76259,33080
24177,78329
24327,40662
53308,9186
50257,66241
27134,20903
27432,76272
37897,95627
69531,61685
62401,46851
9821,9557
40817,3431
80486,1126
84475,45347
63052,28759
73666,7710
22335,3613
28124,91455
15211,24410
89588,94756
85697,97944
44427,72263
81613,63327
78699,40684
2055,29284
96388,31357
74338,28687
42322,28185
66200,80512
93690,14018
12167,9138
86942,29380
17968,42269
688,36967
74937,60692
19450,50014
16349,94456
40124,96370
42217,4008
54125,79912
76074,53371
64323,22743
50516,32913
13930,19263
15009,80866
84677,51094
37782,39722
83752,39324
54358,99392
95286,41269
37780,8133
7542,65243
20705,31823
58368,31564
61544,8840
17221,6145
92230,94185
63883,4083
55046,8866
21694,76008
82552,41222
83103,76099
99152,6010
38989,9835
36145,2336
81117,4972
75751,128
60502,47080
59943,12035
78018,94249
1595,22527
78062,13660
1496,93650
84044,87642
16414,63824
27020,45629
51724,87985
451,6082
5285,58192
6339,6472
60062,95009
1738,84715
82315,97922
37235,80662
556,43000
80584,73141
88408,96097
9399,97959
7791,49961
96001,78810
68071,38024
79493,53742
2578,90038
44776,77215
83639,64020
29372,56145
13651,81607
24750,78423
70932,55859
59034,68217
38143,81954
91938,54619
68995,86040
79351,55741
32085,34682
96882,58735
60940,45249
19213,80319
52411,64698
59573,99827
9006,47285
2795,23460
19014,19603
42071,94877
44812,53445
81203,26109
38244,43159
12465,52982
81686,89288
76526,62946
38205,4728
39675,99643
25698,13960
76730,31908
57101,38149
71213,12214
15318,4560
52539,62079
45195,70272
51335,16606
57414,61038
87045,74451
31920,21022
9695,41085
29765,49227
34338,76322
56748,76516
7180,28869
89675,35367
73690,95816
53960,17886
95954,46303
76029,15520
81283,14392
79505,8513
96677,18095
12487,18482
78232,14322
96994,67580
58211,86456
9562,19841
44102,33686
40017,2862
32940,36402
82347,26261
59543,47969
92460,37240
66150,86356
84952,59166
12696,58069
94432,58997
98282,59463
87451,44309
16515,31720
7385,55559
14028,52328
797,2814
19582,38772
32801,21701
64059,68931
75123,86495
6983,7757
28540,15179
7106,4589
79329,17556
46197,40676
18935,99065
67397,51060
3558,59254
97287,59808
76896,78781
164,8515
66877,44009
34876,60831
97059,76630
73496,55264
68029,48551
37318,11288
1193,80887
30582,63980
15577,16948
87079,99949
51120,22570
62055,29941
69507,41654
12245,8306
86341,55156
72907,48213
74578,17866
34366,80025
71485,81062
33759,86739
49199,71686
44981,17259
51051,79091
50999,62876
167,32312
36819,48066
220,10592
84891,70471
5476,46071
49806,11359
36763,68155
96064,95988
32819,24291
97174,69543
80600,90138
36776,54346
85207,99410
86799,60752
53199,82338
1175,25858
19221,99433
41436,95372
60846,85147
62782,68799
89211,92043
1745,45137
39395,81699
92837,66905
79310,94288
561,87550
20508,48507
86310,86050
60335,39391
55612,19140
47478,22060
22252,59540
64227,57328
22791,22423
61207,93079
22071,18556
33379,52966
60471,99998
47490,45468
3790,74831
38150,34229
12276,22698
70831,23549
26695,84514
89848,38001
83028,73087
2137,60278
36706,10987
44387,65403
5407,64238
81385,89663
3961,29319
33051,721
91293,74787
17911,32817
10890,77055
81301,28583
52308,66096
28442,82252
28330,16339
84383,41963
82956,79552
55456,98875
7396,18531
97348,82244
74245,18732
6924,82986
69668,11356
41855,1099
69684,2693
92555,25557
54338,53407
43395,76192
25944,93302
4439,87148
14727,67240
57390,47680
10382,73248
95160,49894
66403,67469
92087,26635
44229,25761
32125,35859
64203,83418
88963,47427
9817,22740
48614,12323
78553,9134
29862,92284
87120,42538
18815,66302
80983,69458
97722,82128
62477,87614
78027,92110
26864,91870
46429,7859
34402,57856
93133,34604
70094,50302
33437,50202
6797,53148
91272,6407
22158,79994
80553,77573
60338,35729
67574,68891
15253,64863
28388,76360
53702,43632
52474,44835
28729,15780
83003,12289
76275,38355
48110,35404
92306,72050
68900,55464
94967,14449
74176,48405
99027,20609
34443,43179
38984,95571
67881,36565
20432,35876
9371,29870
38908,84470
65062,47416
73318,75965
66827,91188
54692,54875
68209,85216
27648,7692
10992,19251
51101,80424
82625,23681
89038,82605
55182,28684
15038,41501
32898,3203
13,7283
85971,67640
41572,86726
15121,62015
60642,91676
54523,57206
21736,10348
11702,52198
35255,2201
39903,73704
55351,1881
11694,13842
21330,23868
43574,76959
2592,89252
82276,84278
26207,11123
14323,41107
10135,290
1185,26665
24189,21361
21227,67623
97194,47943
63485,52798
37120,3429
71117,90988
69505,18005
89432,71379
87558,73455
44061,34359
5960,73596
46999,39731
38594,36443
57164,19522
8080,54482
72649,14487
963,53271
25300,88564
80722,45385
91744,13899
11049,54981
42589,80247
46614,92373
10617,75227
10925,90523
81580,638
87430,11617
28922,16294
44584,31333
21076,75047
45215,12992
14380,46619
69791,2961
72294,7945
16565,73689
64022,42985
82300,97722
55239,22121
22339,48950
97119,51101
81834,71020
59882,91559
32314,32259
95850,16074
59996,16610
77313,80235
78013,37731
52183,53628
98636,95631
51328,27760
70938,5690
96232,42399
23861,64954
10343,27223
73450,33080
41861,13863
94599,5680
86530,91113
35583,13816
6497,53868
64141,52084
45951,36170
63618,97623
62985,16220
56768,89731
45257,57233
50660,42802
67689,26750
21008,2575
82002,84425
4923,2625
13033,5167
83122,83983
7553,97965
47,97680
56838,6258
79394,58460
77849,43229
57813,80449
610,78180
70671,17385
51734,91765
89497,70951
92966,16991
93442,9155
36303,43068
77655,74161
72847,72220
21321,63103
80262,95890
68570,83538
39237,16958
71423,31782
70276,62117
46907,83304
69979,22641
33154,16728
71526,57738
26952,75634
91212,56710
76055,71013
72563,20490
81731,45588
59821,52727
50611,12326
90024,91175
73122,30715
52036,9603
69017,97291
18779,20146
67954,3270
60217,13951
15005,13036
12328,52755
77960,20236
46438,35823
59870,61311
30455,7765
62843,36309
3801,47406
15619,57443
46938,21980
26583,93025
78351,26659
94523,35010
84532,11230
95020,1136
29154,27198
59767,54306
30211,6898
56695,57676
3675,90542
23273,29434
88131,22875
77683,9330
97609,18897
27659,64372
52717,65191
69269,12451
13253,19295
44456,39257
80807,73489
15295,99668
28757,58850
8420,6320
38601,88458
45994,58932
35422,59933
1765,45449
30235,4278
74103,95098
24046,96660
51248,69239
80362,80492
98177,799
65715,21250
95477,23727
38435,97683
7094,8872
55589,85328
38088,96308
99259,48992
71022,119
20034,98560
76618,9806
88181,36829
10945,113
84347,54074
87264,62145
53924,48977
31414,91461
70216,61794
23819,74837
75849,20770
51123,85423
61449,13065
99667,95827
2651,66151
61309,19900
42094,40747
61172,32861
56873,81979
51136,26181
9505,96382
54539,87983
17253,39729
52947,44385
65943,55715
74112,26898
63595,10405
2330,53688
60159,72390
42555,21838
96264,71036
23503,16301
62347,94213
65513,32921
77458,71170
16551,90277
16747,46199
28911,54072
62511,43808
60738,6155
51811,51111
43431,59057
14595,35649
59306,66377
31418,94362
88907,39309
26076,21114
65518,31579
28451,62133
99399,38146
31043,69553
85886,88077
96921,88540
17546,53923
25066,85873
26487,76454
84980,75708
11252,62317
62966,39569
6031,69306
90682,26681
5568,36112
18722,68612
12008,73866
32211,40891
96914,51543
29984,12489
16860,16020
68402,4651
49568,37720
52555,79657
71359,70476
52156,59464
11868,37451
48924,42502
25413,43162
90038,42157
20632,50637
50986,51796
41841,57198
15146,60529
59809,11247
60995,29233
46470,58416
11987,3066
70450,76255
68245,7672
82997,25901
24809,13527
67782,91898
56044,62259
14258,46989
92335,63242
69619,47748
22426,3077
1914,27501
16026,53149
47238,78098
63934,80274
92585,44766
14556,43717
58708,34314
65322,97895
23423,17493
80495,26061
74591,23158
24292,53611
67234,28962
21993,70761
4071,50186
11176,50684
76945,83765
90898,35138
75481,22568
50766,91671
69425,51778
69412,36648
20577,75331
63115,40329
68893,84373
32259,69641
56734,27361
33685,15972
31948,31258
65694,80552
82689,4559
81290,63365
43243,55448
4275,47384
68911,4817
80165,33447
46759,7553
10629,75287
70180,43829
54390,3732
43086,85119
49391,26566
26248,11614
80977,97849
92310,31483
10462,59098
95879,68332
16035,45537
53165,42161
69290,49453
59980,66717
79846,65888
38100,69974
3419,29514
3537,62929
37566,37448
38087,35286
52100,17154
16704,6025
83209,84297
61254,50835
5757,382
9766,73979
14764,19675
63336,37014
31564,77186
81384,98135
1324,38760
52524,63333
14846,67678
39231,23427
85618,47919
52855,67024
57111,87424
83128,38324
68325,37552
29669,90907
5509,41873
96826,47634
17816,55613
1870,39983
93683,79650
73487,96905
9297,42092
54046,97767
15559,2726
69892,34749
49952,87160
19981,11084
72038,20441
16630,18258
45312,25652
69704,19809
95282,44280
22263,50037
36816,73922
58526,73353
61078,42835
75306,62319
63218,58597
63490,28755
49069,86
42783,57084
7222,75504
40250,11496
73637,78740
22236,4848
87430,74916
9661,94387
45030,24574
54984,7596
18480,37260
9983,94800
46894,56711
50696,10806
60280,93091
31165,48671
13854,46947
67017,88837
79292,30325
89394,68632
84798,99335
40344,82091
8635,48699
30382,3560
93825,29030
8881,77252
54067,86316
53785,64325
25936,56141
31722,8337
50919,39600
28258,20139
74538,12711
91142,24116
70913,12970
48051,52064
42390,72865
40118,25778
49595,57109
91093,18250
90381,30840
77218,95690
15795,91885
56227,95924
60071,95865
81517,91102
74264,51878
75597,85564
83574,25235
17479,65247
85943,27315
7321,40989
50197,7445
51744,38084
39378,8219
74460,29775
85811,97343
34326,24161
78741,73770
24074,17812
69354,27913
80898,35020
58486,64381
8707,75486
93994,21296
69260,63501
88530,31952
64447,2077
89947,62447
24899,73954
58655,61121
43960,73728
64782,59347
80416,27867
84052,40596
81229,47561
39139,64877
26170,95461
1836,86564
63792,94726
15408,14558
72023,23774
62878,69467
96415,2746
53170,1645
334,96424
76283,66052
57850,41444
61955,68103
70280,13146
34704,36268
61032,6464
94185,75848
9673,75722
27676,33474
53796,17094
11013,43174
79092,27765
82536,61419
50709,75
58256,20579
21056,83833
85143,91988
3378,62497
92989,88061
94730,49732
45417,73600
45904,4668
92992,27587
83630,92698
18682,7111
98095,97165
25729,8081
2737,27900
12361,95454
65683,29546
25392,62569
36972,54226
987,76540
21619,73636
62145,29489
68944,1922
39095,62773
34552,22710
26162,55922
58780,98166
42355,46973
19504,16871
55255,8115
70593,81224
99686,3865
70371,41788
97101,73424
19851,4332
15248,50528
18503,89979
62268,16738
76082,75624
56224,50290
72568,86315
84975,76360
65236,3074
38625,56226
91077,65832
97170,301
84825,39444
944,45351
81118,17593
69872,28747
61292,36954
44415,8341
54762,51110
42118,37140
24578,19514
29878,71164
27678,14762
82925,56376
48831,9666
48567,41665
47262,23203
60722,67657
81644,90049
77714,77701
53423,86717
75249,95692
81651,29321
95761,39913
23264,12143
25375,83608
12961,19593
79260,21566
97519,58148
26223,29166
80585,11970
79379,95022
51720,31381
97502,72225
15358,27585
40476,33142
35334,74586
4985,37063
20943,27033
46955,8723
82828,91741
28663,39649
5794,71049
23138,81226
69632,32325
57185,89409
86535,58731
59598,51174
61628,7375
34497,75040
75959,97343
21354,34307
77252,96076
17945,23072
72426,79815
39629,19364
18622,77659
93565,51712
1764,39733
81505,70425
78170,88107
49536,46448
30966,80061
9994,42435
57128,77092
85004,94615
13155,5061
85893,23878
1128,16141
44408,53033
76911,79877
64648,72911
6924,27795
37738,4086
47738,52852
51967,83880
37109,5403
27104,96312
63259,48361
19145,75742
64019,33961
21973,26517
52529,76708
6948,21775
84065,43751
76380,52078
40136,44066
82834,59955
70603,44376
91055,70444
98839,21579
47274,36308
79222,71454
46636,23132
90705,48489
84539,30243
61177,92576
70795,991
2650,56695
22264,28018
15285,95500
59062,31316
71938,30231
26786,58856
58737,21840
88096,55622
60434,98231
31483,63444
81763,7583
74608,95258
85870,4431
72171,13378
39701,92310
37107,90555
38154,83213
19538,3541
70651,83756
61183,18606
64401,401
75932,33594
5154,17294
70438,18151
13929,49390
17296,30722
46008,18313
75373,27439
568,33021
87037,26202
24608,31743
54908,97112
48701,86608
56335,96050
74556,90052
52347,52277
22153,50974
33240,27678
7162,69547
22009,61362
57128,42200
83576,12513
90317,55264
17110,34091
20248,26435
10332,26114
96917,26164
5372,69418
66315,83837
77527,70503
9690,78511
33333,55654
60704,66109
90981,68326
59664,4903
71472,6211
20027,66471
67075,36577
46765,73393
39325,10926
8308,18814
30211,1024
16116,92009
41467,2555
59162,12163
8690,62946
84465,48209
73591,60060
33225,5047
41733,48546
53561,76324
4876,3345
57426,23745
85416,27879
54155,51632
30149,96275
33877,76566
71602,34995
64330,43480
21092,89755
34597,33574
29477,71174
9760,44949
80372,12048
48918,67765
58514,64648
30154,87157
90475,19219
71031,74680
10556,45295
11640,33509
5868,67848
97370,82778
43593,39328
11713,91113
54816,25797
75868,39815
36124,4997
22851,50697
34404,41528
21257,22981
98330,95880
49015,81194
81850,6560
11259,53678
78946,68537
4931,7003
60025,37898
52245,89388
50607,31099
53744,67998
25290,94806
14349,8090
13283,37372
96016,27029
23395,37166
5081,34113
48867,93129
9948,5627
74256,88712
6583,35589
55678,16430
12902,72648
9619,79421
64115,53989
76088,39341
21418,94659
4883,97387
78125,88236
56407,47339
54222,20649
70575,34554
58964,37672
5357,12004
12801,63560
91797,83574
70503,69952
18618,55764
65346,94269
74396,37034
41841,53966
67301,3042
74489,22643
98000,90562
61650,2012
75240,59640
52138,22274
65507,72418
62404,32541
20243,30838
41238,9587
72496,13389
35509,35411
36164,61206
8477,165
69330,79659
61365,99472
30519,38169
45901,66381
22001,40653
9091,63595
54043,46930
61817,5407
66877,96346
45853,91384
71821,10694
10132,35843
98060,73536
64456,50423
6459,70969
36764,65649
88936,7533
54811,82758
17943,2289
4212,65780
2036,62328
98722,31274
63981,31094
14472,34145
97240,62887
64662,70037
39536,8761
47144,77485
38928,14266
64301,10673
4072,48235
7328,76697
58125,66370
2116,86886
60231,8185
45912,97442
1905,32470
84985,59986
49642,9223
39484,19974
93531,73963
44572,14305
70196,45941
96504,23247
88093,12650
25557,17308
28213,71593
59075,88141
28909,70558
20027,7487
98749,68980
95340,10290
92689,22857
1550,37613
81478,74500
46346,79755
12099,70333
45351,65447
80896,25692
56548,13924
52018,30463
15442,35742
17114,20539
8187,10781
25363,15928
23461,16408
33090,78640
1874,28614
63747,69877
69496,22061
65942,64836
34013,62504
24322,63748
48430,99064
68997,1560
63962,30611
86376,43409
41079,67531
71093,39307
37671,34819
45203,96787
83772,58264
64944,30187
57108,81307
19824,48455
43477,31402
86379,33135
32912,17061
96395,49595
67760,23457
50608,44044
7366,20600
76706,40858
53922,76577
61569,1743
44901,61118
55450,11515
61716,84408
36635,94286
86470,39959
72653,33369
98553,47314
52193,3436
50882,39088
61828,1091
23102,93389
54219,13078
71862,27271
37001,97834
33867,53522
4693,15133
10522,27250
83109,78138
15366,62816
96512,14214
46057,2775
36718,34483
63872,33896
6451,73033
7009,67703
34552,10316
35878,93937
22754,5946
62292,16679
83902,2917
31525,86303
28911,61372
45767,58934
70452,85086
41838,44153
25539,84148
4389,83000
53191,84313
73916,56732
81196,5784
32284,46625
84318,25928
59962,63456
6631,29701
1873,46875
46485,85384
37678,21357
46988,39280
39537,98215
73355,11193
35006,10451
47823,25567
93973,32120
68510,25272
26619,76800
22926,83687
54744,96482
72167,58218
62551,83667
82692,11786
15592,23615
73136,21245
1544,44138
58863,66959
17259,6093
4841,45712
30376,11100
37404,89569
17537,70370
48123,61516
84170,75694
91189,32311
28464,86128
74487,49048
25279,53658
93752,27807
38548,9429
68242,88999
28563,79223
7319,37755
57009,87101
99717,12872
60800,78366
27687,66452
76757,46884
42637,52829
86150,60953
28038,73784
98137,71908
14087,99799
11784,16417
83706,16749
12456,54798
61986,60595
94910,46702
42009,11659
25085,23262
13175,32
16867,89408
21080,38722
68339,32061
81555,1990
51251,75555
23995,11687
72120,37658
14818,91047
87420,40409
84055,4951
64889,93927
93807,86431
98194,87767
21519,41336
16550,51320
49967,91434
27283,86012
77580,15878
39665,86821
51698,92804
4391,19313
10245,35663
52704,89576
28486,23868
55635,25505
43034,34659
83316,15841
17270,8560
32547,207
66259,87930
95467,81907
56549,77391
60262,71465
99365,96322
86618,81539
16011,7565
8796,57201
99185,20502
63190,51114
33130,25421
78690,7610
70067,65338
89130,97004
94868,80945
84260,73976
17979,99086
3595,71856
41860,51400
57788,20088
56853,11378
19790,61733
65489,23849
23150,59333
13243,71072
98092,96303
67100,7515
87646,82866
57874,83395
98386,53388
12956,84807
52778,88087
62179,51344
48089,68312
15687,43645
63884,65817
67126,31345
92416,4146
92679,49067
69752,45759
5587,15517
87598,31373
54576,64258
78217,16957
925,77214
35158,12246
20766,64046
4159,38250
4599,44834
31618,65147
30865,92667
31308,52192
29147,88681
26021,28721
82268,28673
45484,72836
64875,43858
16868,15796
84502,17328
81790,91214
13803,5378
25359,65393
11378,66218
91274,49823
40287,24050
28507,75022
40882,83236
21191,75706
84004,21301
65169,86387
39245,9301
64629,56019
93164,21947
13368,67715
42457,4091
72687,32060
20074,45892
19157,10375
25586,61063
34340,25701
39756,13093
29996,85600
52233,79911
6467,82337
84091,13822
26992,95519
35160,4786
60532,19917
66713,15542
12830,26914
83071,65094
15758,79229
14054,81902
67266,17726
57826,69224
6165,41258
85395,86732
46673,88681
54760,97467
39767,74672
48703,67188
87011,20672
14172,98861
40828,95133
36328,80383
93566,97063
33985,80509
717,87405
59025,19621
87693,27078
19255,63044
67681,86626
30010,2791
48354,86504
46472,55589
3688,37521
37949,60646
68114,49108
74380,23010
93183,79529
36646,71294
54163,26001
18597,39598
93155,9609
43123,97753
98168,18623
76351,80142
39139,43454
93763,57981
72700,35825
47521,48873
60051,6438
60374,31612
74635,96515
50630,2557
69126,40658
77468,15623
61945,11553
35645,78473
28248,47919
80661,45558
62593,52193
73894,24571
96499,33532
18947,60744
26342,47526
69520,11807
97276,3446
35390,73155
42920,6692
94671,20215
92965,6559
43948,7704
99959,33834
69500,68466
16337,67245
49395,73001
23987,29029
2099,80964
84835,93963
51883,97681
18793,86656
43419,97349
97246,27881
58571,50261
33624,11797
51300,46944
44216,15522
37740,74883
76917,76779
19324,85669
57983,83277
49661,96817
89873,42049
36117,70486
36658,56524
12090,33185
12228,32257
93340,83626
63178,54313
55219,56655
6900,92832
85197,7927
80912,58913
74453,34357
83705,87566
78229,73118
26941,43403
60398,99889
2285,13459
2202,47659
26264,93773
36773,98803
84368,14283
1364,45779
22470,87634
57513,25924
97587,32742
56352,96660
80800,96467
47280,63583
32822,57
77602,71654
93504,50340
37170,43976
53892,1973
93304,16739
42081,6106
70863,6256
37013,12336
93603,49934
36072,81230
64621,20697
4816,11656
82754,74756
44389,71964
48013,21776
58407,28347
91945,89324
30928,40749
18506,55730
5085,34164
71020,48543
7661,30492
84662,54846
1740,84735
67037,68098
77445,32390
79401,72561
85299,36447
4030,85821
69681,5209
24123,82740
58630,33390
12789,92550
45886,51872
523,65358
53939,66142
54237,34409
22579,46367
51955,66374
78193,4202
22047,34071
44794,23518
17136,98056
70759,31305
73371,84702
42560,86243
53762,91917
65303,41079
10730,622
26512,17456
3427,4363
58212,80550
38456,2776
53294,85857
49228,80596
20362,29065
13749,53640
6976,6193
11929,2554
33764,69689
85027,3242
57938,73098
88548,46995
38938,2132
76244,16023
27719,22737
42616,59826
32695,58070
23548,44201
64337,73966
98267,77350
69509,99248
3445,61373
38760,27043
37344,70415
73087,81650
66427,73514
95288,73320
47178,28121
45143,46945
25401,9813
9096,48145
12784,39745
74049,99119
66205,19140
16025,28715
49339,1855
7160,80323
79996,23665
53615,66246
26850,61359
95445,5079
61919,21808
64275,99538
77579,87505
70435,27478
51688,77906
2990,59526
34825,12426
62572,5853
74660,95401
13340,20353
9966,8972
79116,17300
96991,14477
48523,60426
29505,47045
68403,85961
58718,13569
27679,92611
65136,77566
65418,3721
15895,90370
89452,7784
67675,2721
62513,74581
10425,69001
21078,23451
93220,76665
56043,95890
93370,27902
23700,6502
49313,87783
46908,9603
7898,87978
82826,49365
86689,97137
63402,94664
96364,27958
54507,70193
14352,20835
6893,15354
74151,26581
74379,19937
21621,21076
12013,43578
39607,96564
18661,64052
66061,87924
58889,39887
55733,72973
53520,59255
98815,78830
18768,13542
94402,93680
26708,94424
84035,99704
4335,78038
11237,30172
85062,49930
22546,61894
18991,34202
10718,78817
7220,31009
52016,45261
84769,48301
54083,94669
93044,74717
92873,7822
77846,59284
9028,42794
60363,98359
23740,24748
38297,80062
1512,90270
26169,13582
34049,93074
25071,48044
35563,2465
21983,3718
6091,12016
13361,63961
65275,20412
20187,97364
1352,51712
55088,74045
34409,41152
36509,75786
22155,19056
332,34527
23247,89108
7557,24036
94462,78669
8165,24134
2950,78166
35608,92005
51333,99427
20712,66648
30775,73999
65317,8682
33407,6423
80027,95386
96770,87942
81005,44915
49190,97970
6000,33830
41081,82364
21971,65113
13304,79500
84207,82074
30547,82810
48758,23247
3881,3282
54057,90086
34310,60077
58292,89048
22311,87248
5750,13641
50009,5378
7194,69470
86932,41007
47463,90593
56994,2817
19791,78317
54162,89853
96812,64177
51001,91483
22589,82411
46717,94762
97779,52311
50165,66113
74479,6013
28745,29607
24430,28633
72924,32851
27811,41828
11693,31987
10419,81175
71839,94678
52666,52057
59296,14374
13831,13510
59912,33162
1654,45600
58988,82174
32787,71227
43545,6262
16037,12702
76176,18898
4943,4416
41510,54668
66087,1910
16684,27840
93739,50608
937,58416
21937,44838
17827,55430
28402,45726
18230,46114
91188,43938
15949,28620
35610,7448
34576,3645
70495,78963
9334,83423
54180,12303
11467,76349
63827,78781
949,41486
10666,54855
57173,47056
24546,7292
31009,81530
41279,4798
99149,23892
86967,32365
82932,73647
68018,62460
60573,36444
10453,9361
64649,96322
41697,49857
95700,52207
48011,66899
36742,21530
64379,43473
59138,58747
32084,25758
86281,65094
62843,82799
5108,90540
59105,39395
73327,79128
52886,99216
71206,39097
26507,45838
53346,24655
89613,96257
87105,66756
47757,12123
20924,84409
3707,97975
70401,7286
59812,30747
39243,18662
45444,84312
16562,48858
37079,61671
45789,3245
49941,79894
89617,39428
72765,32274
89150,17994
83966,67014
35093,86743
87157,6621
82298,55168
32925,56920
47726,50510
402,64625
5613,45203
12583,78803
1247,71465
97572,69418
26744,42491
46581,2460
36760,38592
68485,96667
30276,49623
38270,22567
7656,13805
60054,16942
91422,95621
48550,82484
72144,19316
41772,11350
99468,63220
22393,91592
65895,78225
34960,92214
67800,17569
87988,26043
67069,34018
78649,69996
52453,93654
78311,3120
15020,39780
45963,5292
54336,36589
53013,73718
78336,74883
16723,57102
36523,50735
62838,50775
32704,99061
18261,78779
9760,23917
21406,43029
41539,33026
6913,1459
20414,38678
72930,60954
91573,81774
77218,96125
54604,14896
89616,87168
71881,54526
44333,30125
32566,66926
88387,51266
28801,42653
72182,2253
73515,15546
84671,59509
72982,92717
6841,7011
20978,25505
4094,58628
78484,7227
54890,17078
64202,67639
43310,83175
25722,55380
79564,68172
41748,45018
84272,8561
4423,27318
76331,32861
16360,23400
76430,40425
8864,3614
1045,81789
20424,58330
50879,74707
40488,86032
80054,36551
36550,6970
92771,14533
68666,42152
75463,3661
65981,63280
95981,90907
80983,44020
84533,43729
52174,64844
94082,68862
29316,1329
42286,99088
50569,57935
30252,80406
41520,25601
68214,25536
78860,37397
36970,18360
497,66978
31715,26406
16995,31937
1116,67885
15545,33298
18852,68910
49420,72509
57363,80134
89240,8765
57572,89432
38516,37221
76043,10584
53780,41657
74065,83804
13273,61154
92357,14672
53687,1631
17590,4779
958,80303
71018,83874
26161,25077
35682,90477
16888,52928
90503,59899
19308,7224
86255,32139
8802,43634
17844,83740
65081,60933
23023,18709
51365,72987
1253,94457
64509,97482
53739,77512
30572,2900
87913,89150
18249,57834
59417,72117
4242,26351
38602,3295
51021,65561
16137,461
61576,36604
9862,82546
88999,5402
42060,69326
11509,25396
77699,8843
98479,13587
73455,26433
29962,93422
32485,84143
70860,18402
79622,42792
51257,85394
3985,90613
605,66484
60331,6158
